WWII_ID,MASTER_INDEX_NUMBER,MSNDATE,THEATER,NAF,COUNTRY_FLYING_MISSION,TGT_COUNTRY_CODE,TGT_COUNTRY,TGT_LOCATION,TGT_TYPE,TGT_ID,TGT_INDUSTRY_CODE,TGT_INDUSTRY,SOURCE_LATITUDE,SOURCE_LONGITUDE,LATITUDE,LONGITUDE,UNIT_ID,MDS,AIRCRAFT_NAME,MSN_TYPE,TGT_PRIORITY,TGT_PRIORITY_EXPLANATION,AC_ATTACKING,ALTITUDE,ALTITUDE_FEET,NUMBER_OF_HE,TYPE_OF_HE,LBS_HE,TONS_OF_HE,NUMBER_OF_IC,TYPE_OF_IC,LBS_IC,TONS_OF_IC,NUMBER_OF_FRAG,TYPE_OF_FRAG,LBS_FRAG,TONS_OF_FRAG,TOTAL_LBS,TOTAL_TONS,TAKEOFF_BASE,TAKEOFF_COUNTRY,TAKEOFF_LATITUDE,TAKEOFF_LONGITUDE,AC_LOST,AC_DAMAGED,AC_AIRBORNE,AC_DROPPING,TIME_OVER_TARGET,SIGHTING_METHOD_CODE,SIGHTING_EXPLANATION,BDA,CALLSIGN,ROUNDS_AMMO,SPARES_RETURN_AC,WX_FAIL_AC,MECH_FAIL_AC,MISC_FAIL_AC,TARGET_COMMENT,MISSION_COMMENTS,SOURCE,DATABASE_EDIT_COMMENTS
155613,27552,7/1/1944,PTO,7 AF,USA,,SOLOMON ISLANDS,ROTA,CONTROL TOWER REVT A,,,,625,15520,-6.416666667,155.3333333,73 FS,P47,P47,10,1,,12,40,4000,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
155639,10132,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,MATAPAU,UNIDENTIFIED TARGET,,,,540,14530,-5.666666667,145.5,110 FS,P39,P39,10,1,,9,1,100,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155853,10133,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,MATAPAU,UNIDENTIFIED TARGET,,,,540,14530,-5.666666667,145.5,110 FS,P39,P39,10,1,,,,0,4,500 LB GP (GP-M43/M64),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155589,39671,7/1/1944,PTO,13 AF,USA,,BISMARK ARCHIPELAGO,TOBERA,AA GUN POSITIONS,,,,424,15219,-4.4,152.3166667,100 BS,B25,B25,1,1,,12,98,9800,72,500 LB GP (GP-M43/M64),,18,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
155590,39672,7/1/1944,PTO,13 AF,USA,,BISMARK ARCHIPELAGO,TOBERA,AA GUN POSITIONS,,,,424,15219,-4.4,152.3166667,390 BS,B25,B25,1,1,,11,93,9300,64,500 LB GP (GP-M43/M64),,16,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
155636,8118,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,FOROK,VILLAGE,,,,340,14345,-3.666666667,143.75,69 FS,P47,P47,1,1,,4,70,7000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155631,12825,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,WEWAK,TOWN AREA,,,,335,14340,-3.583333333,143.6666667,69 FS,P47,P47,1,1,,4,70,7000,8,500 LB GP (GP-M43/M64),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
155634,12715,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,WEWAK,UNIDENTIFIED TARGET,,,,335,14340,-3.583333333,143.6666667,311 FS,P47,P47,1,1,,4,70,7000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155635,12716,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,WEWAK,UNIDENTIFIED TARGET,,,,335,14340,-3.583333333,143.6666667,311 FS,P47,P47,1,1,,4,70,7000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155919,12714,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,WEWAK,UNIDENTIFIED TARGET,,,,335,14340,-3.583333333,143.6666667,110 FS,P39,P39,10,1,,,,0,,250 LB GP (GP-M57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155632,10512,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,MUSHU ISLAND,UNIDENTIFIED TARGET,,,,325,14335,-3.416666667,143.5833333,69 FS,P47,P47,1,1,,4,70,7000,8,500 LB GP (GP-M43/M64),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
155633,10513,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,MUSHU ISLAND,UNIDENTIFIED TARGET,,,,325,14335,-3.416666667,143.5833333,310 FS,P47,P47,1,1,,4,70,7000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155854,9562,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,LUAIN,UNIDENTIFIED TARGET,,,,321,14256,-3.35,142.9333333,110 FS,P39,P39,10,1,,,,0,0,500 LB GP (GP-M43/M64),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155917,9561,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,LUAIN,UNIDENTIFIED TARGET,,,,321,14256,-3.35,142.9333333,110 FS,P39,P39,10,1,,2,1,100,,250 LB GP (GP-M57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155595,7553,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,673 S,A20,A20,1,1,,11,35,3500,48,500 LB GP (GP-M43/M64),,12,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
155596,7554,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,674 S,A20,A20,1,1,,12,35,3500,48,500 LB GP (GP-M43/M64),,12,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
155637,7551,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,672 BS,B25,B25,1,1,,1,40,4000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155638,7555,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,675 BS,B25,B25,1,1,,1,30,3000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155905,7552,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,672 S,A20,A20,1,1,,11,,48,,250 LB GP (GP-M57),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
155906,7556,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,675 S,A20,A20,1,1,,12,,48,,250 LB GP (GP-M57),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
155586,5536,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,530 BS,B24,B24,1,1,,5,115,11500,80,100 LB GP (GP-M30),,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
155588,5535,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,529 BS,B24,B24,1,1,,,,,80,100 LB GP (GP-M30),,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
155592,5533,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,528 BS,B24,B24,1,1,,,,,60,100 LB GP (GP-M30),,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
155603,5534,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,529 BS,B24,B24,31,1,,6,145,14500,40,500 LB GP (GP-M43/M64),,10,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
155604,5532,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,528 BS,B24,B24,1,1,,6,130,13000,40,500 LB GP (GP-M43/M64),,10,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
155627,5531,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,528 BS,B24,B24,12,1,,2,110,11000,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
155641,5515,7/1/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,UNIDENTIFIED TARGET,,,,316,12706,-3.266666667,127.1,529 BS,B24,B24,12,1,,1,110,11000,4,500 LB GP (GP-M43/M64),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155593,13485,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,YAKAMUL,JAP CONCENTRATIONS,,,,315,14245,-3.25,142.75,387 S,A20,A20,1,1,,12,45,4500,48,500 LB GP (GP-M43/M64),,12,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
155594,13486,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,YAKAMUL,JAP CONCENTRATIONS,,,,315,14245,-3.25,142.75,388 S,A20,A20,1,1,,12,45,4500,48,500 LB GP (GP-M43/M64),,12,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
155601,13478,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,YAKAMUL,AREA,,,,315,14245,-3.25,142.75,386 S,A20,A20,1,1,,11,,0,44,500 LB GP (GP-M43/M64),,11,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
