WWII_ID,MASTER_INDEX_NUMBER,MSNDATE,THEATER,NAF,COUNTRY_FLYING_MISSION,TGT_COUNTRY_CODE,TGT_COUNTRY,TGT_LOCATION,TGT_TYPE,TGT_ID,TGT_INDUSTRY_CODE,TGT_INDUSTRY,SOURCE_LATITUDE,SOURCE_LONGITUDE,LATITUDE,LONGITUDE,UNIT_ID,MDS,AIRCRAFT_NAME,MSN_TYPE,TGT_PRIORITY,TGT_PRIORITY_EXPLANATION,AC_ATTACKING,ALTITUDE,ALTITUDE_FEET,NUMBER_OF_HE,TYPE_OF_HE,LBS_HE,TONS_OF_HE,NUMBER_OF_IC,TYPE_OF_IC,LBS_IC,TONS_OF_IC,NUMBER_OF_FRAG,TYPE_OF_FRAG,LBS_FRAG,TONS_OF_FRAG,TOTAL_LBS,TOTAL_TONS,TAKEOFF_BASE,TAKEOFF_COUNTRY,TAKEOFF_LATITUDE,TAKEOFF_LONGITUDE,AC_LOST,AC_DAMAGED,AC_AIRBORNE,AC_DROPPING,TIME_OVER_TARGET,SIGHTING_METHOD_CODE,SIGHTING_EXPLANATION,BDA,CALLSIGN,ROUNDS_AMMO,SPARES_RETURN_AC,WX_FAIL_AC,MECH_FAIL_AC,MISC_FAIL_AC,TARGET_COMMENT,MISSION_COMMENTS,SOURCE,DATABASE_EDIT_COMMENTS
91511,699306,7/1/1941,,RAF,GREAT BRITAIN,74,SYRIA,SUWEIDA,,,,,32.7,36.566667,32.7,36.57,45 SQDN,BLEN,BLENHEIM,,,,3,,,,,,,,,,0,,,,0,,0,,,,,,,,3,,,,,,,,,,,,,,
91509,698127,7/1/1941,,RAF,GREAT BRITAIN,73,LEBANON,BEIRUT,,,,,33.886944,35.513056,33.89,35.51,38 SQDN,WELL,WELLINGTON,,,,3,,,,,,,,,,0.32,,,,0,,3.57,,,,,,,,3,,,,,,,,,,,,,,
91510,699002,7/1/1941,,RAF,GREAT BRITAIN,74,SYRIA,PALMYRA,,,,,34.56,38.267222,34.56,38.27,45 SQDN,BLEN,BLENHEIM,,,,10,,,,,,,,,,0,,,,0,,0,,,,,,,,10,,,,,,,,,,,,,,
91189,282399,7/1/1941,ETO,RAF,GREAT BRITAIN,7,FRANCE,BREST,NAVAL INSTALLATIONS,5882,70,NAVAL INSTALLATIONS,4824,430,48.4,-4.5,,WELL,WELLINGTON,,,,,140,,,,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
91190,282400,7/1/1941,ETO,RAF,GREAT BRITAIN,7,FRANCE,BREST,NAVAL INSTALLATIONS,5882,70,NAVAL INSTALLATIONS,4824,430,48.4,-4.5,,WELL,WELLINGTON,,,,,140,,,,,41,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,
91191,282401,7/1/1941,ETO,RAF,GREAT BRITAIN,7,FRANCE,BREST,NAVAL INSTALLATIONS,5882,70,NAVAL INSTALLATIONS,4824,430,48.4,-4.5,,WELL,WELLINGTON,,,,,140,,,,,14,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
91192,282403,7/1/1941,ETO,RAF,GREAT BRITAIN,7,FRANCE,BREST,NAVAL INSTALLATIONS,5882,70,NAVAL INSTALLATIONS,4824,430,48.4,-4.5,,WELL,WELLINGTON,,,,,140,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
91193,282404,7/1/1941,ETO,RAF,GREAT BRITAIN,7,FRANCE,BREST,NAVAL INSTALLATIONS,5882,70,NAVAL INSTALLATIONS,4824,430,48.4,-4.5,,WELL,WELLINGTON,,,,42,140,,,,,3,,,,,,,,,,3,,,,,,,42,42,,,,,,,,,,,,,,
91196,282402,7/1/1941,ETO,RAF,GREAT BRITAIN,7,FRANCE,BREST,NAVAL INSTALLATIONS,5882,70,NAVAL INSTALLATIONS,4824,430,48.4,-4.5,,WELL,WELLINGTON,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91197,282405,7/1/1941,ETO,RAF,GREAT BRITAIN,7,FRANCE,BREST,NAVAL INSTALLATIONS,5882,70,NAVAL INSTALLATIONS,4824,430,48.4,-4.5,,WELL,WELLINGTON,,,,1,125,,,,,2,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,
