Volume Reference,Intelligence Summary Number,Start Date,End Date,Time,Civil Defence Region,Location,Country,Full Address,Latitude,Longitude,Killed,Injured,Total Casualties,Additional Notes
HO 203/15,3526,30/06/1944,01/07/1944,Night,4: Eastern,Little Dunmow,England,Little Dunmow England ,51.867344,0.404065,0,34,34,
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,4: Eastern,Romford,England,Romford England ,51.577076,0.178319,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,4: Eastern,Stapleford Abbotts,England,Stapleford Abbotts England ,51.6419973,0.1651586,0,4,4,
HO 203/15,3526,30/06/1944,01/07/1944,Night,4: Eastern,Stapleford Tawney,England,Stapleford Tawney England ,51.6584483,0.1782493,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,4: Eastern,Theydon Garnon,England,Theydon Garnon England ,51.6721754,0.1260737,0,0,0,
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Hounslow East,England,Hounslow East England ,51.4730369,-0.3564974,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Mitcham,England,Mitcham England ,51.402869,-0.166709,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Banstead,England,Banstead England ,51.3221909,-0.205046,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Battersea,England,Battersea England ,51.4722007,-0.165547,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Beckenham,England,Beckenham England ,51.40817,-0.025813,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Chiswick,England,Chiswick England ,51.4876272,-0.2671732,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Coulsdon + Purley,England,Coulsdon + Purley England ,51.339228,-0.119711,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Crayford,England,Crayford England ,51.4501131,0.1822046,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Croydon,England,Croydon England ,51.3769529,-0.0956895,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Deptford,England,Deptford England ,51.4807988,-0.0231099,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Cheshunt,England,Cheshunt England ,51.7026405,-0.0343787,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Greenwich,England,Greenwich England ,51.4933675,0.0098214,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Hendon,England,Hendon England ,51.5860901,-0.2307061,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Heston + Isleworth,England,Heston + Isleworth England ,51.4842017,-0.3719867,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Ilford,England,Ilford England ,51.556619,0.076251,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Lambeth,England,Lambeth England ,51.4935082,-0.1178424,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Orpington,England,Orpington England ,51.374843,0.094214,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Poplar,England,Poplar England ,51.5123792,-0.0087975,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Wandsworth,England,Wandsworth England ,51.458373,-0.1891356,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,West Ham,England,West Ham England ,51.538008,0.0124751,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Westminster,England,Westminster England ,51.4974948,-0.1356583,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,5: London,Wimbledon,England,Wimbledon England ,51.4183389,-0.2206288,156,622,778,"""115 unclassified"". Figures for entire London."
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Biddenden,England,Biddenden England ,51.115068,0.643338,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Folkestone,England,Folkestone England ,51.081397,1.169456,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Goudhurst,England,Goudhurst England ,51.11306,0.457947,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Lenham,England,Lenham England ,51.239256,0.720655,Unspecified,Unspecified,Unspecified,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Marden,England,Marden England ,51.173613,0.490709,0,0,0,
HO 203/15,3526 + 3529,30/06/1944,01/07/1944,Night,12: South Eastern,Molash,England,Molash England ,51.230003,0.903971,0,1,1,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Pluckley,England,Pluckley England ,51.1771537,0.7560578,Unspecified,Unspecified,Unspecified,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Sandhurst,England,Sandhurst England ,51.3462419,-0.804268,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,"Shoreham, Sevenoaks",England,"Shoreham, Sevenoaks England ",51.3333049,0.1779114,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,"Capel, Dorking",England,"Capel, Dorking England ",51.153747,-0.32109,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Chertsey,England,Chertsey England ,51.386491,-0.509456,0,5,5,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Walton-on-Thames,England,Walton-on-Thames England ,51.38847,-0.416969,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Beckley,England,Beckley England ,50.9860577,0.6394698,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Brightling,England,Brightling England ,50.963928,0.399105,0,0,0,
HO 203/15,3526 + 3527,30/06/1944,01/07/1944,Night,12: South Eastern,Crawley,England,Crawley England ,51.1091401,-0.1872275,Unspecified,Unspecified,5,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Crowhurst,England,Crowhurst England ,50.882397,0.49918,0,0,0,
HO 203/15,3526,30/06/1944,01/07/1944,Night,12: South Eastern,Hartfield,England,Hartfield England ,51.102295,0.111502,0,0,0,
