Volume Reference,Intelligence Summary Number,Start Date,End Date,Time,Civil Defence Region,Location,Country,Killed,Injured,Total Casualties,Additional Notes,Link to Page
HO 203/10,2066,01/07/1942,02/07/1942,Night,6: Southern,Weymouth,England,0,3,3,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/432
HO 203/10,2066,01/07/1942,02/07/1942,Night,6: Southern,Chickerell,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/432
HO 203/10,2066 + 2067,01/07/1942,02/07/1942,Night,6: Southern,Portland,England,0,12,12,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/432
HO 203/10,2066,01/07/1942,02/07/1942,Night,6: Southern,Langton Matravers,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/432
HO 203/10,2066,01/07/1942,02/07/1942,Night,6: Southern,Chideock,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/432
HO 203/10,2066 + 2067,01/07/1942,02/07/1942,Night,7: South Western,Teignmouth,England,3,18,21,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/432
HO 203/10,2066,01/07/1942,02/07/1942,Night,7: South Western,Eggesford,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/432
HO 203/10,2066,01/07/1942,02/07/1942,Night,7: South Western,Uploman,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/432
HO 203/10,2066,01/07/1942,02/07/1942,Night,7: South Western,Tiverton,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,7: South Western,Moretonhampstead,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,7: South Western,Newton Poppleford,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,7: South Western,Sidmouth Golf Course,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,7: South Western,"Woodbury, Devon",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,7: South Western,Weston-super-Mare,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,8: Wales,"The Tumble, St Nicholas, Cardiff",Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,8: Wales,Llanmaes,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,8: Wales,"St Nicholas, Cardiff",Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,8: Wales,Mynydd Drumau,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,8: Wales,Groes-faen,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,8: Wales,Between Southerndown and St Brides Major,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,8: Wales,Mwyndy + Miskin,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/10,2066,01/07/1942,02/07/1942,Night,8: Wales,Peterston-super-Ely,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000010/001/433
HO 203/11,2067,01/07/1942,02/07/1942,Night,6: Southern,"East Fleet, Weymouth",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/008
HO 203/11,2067,01/07/1942,02/07/1942,Night,6: Southern,Winterbourne Abbas,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/008
HO 203/11,2067,01/07/1942,02/07/1942,Night,7: South Western,Luppitt,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/008
HO 203/11,2067,01/07/1942,02/07/1942,Night,7: South Western,Lymsptone + Exmouth,England,0,1,1,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/008
HO 203/11,2067,01/07/1942,02/07/1942,Night,8: Wales,Capel Llanilltern,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/009
HO 203/11,2067,01/07/1942,02/07/1942,Night,8: Wales,St Brides Major,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/009
HO 203/11,2067,01/07/1942,02/07/1942,Night,8: Wales,"Wick, Cowbridge",Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/009
HO 203/11,2067,01/07/1942,02/07/1942,Night,8: Wales,Peterston-super-Ely,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/009
HO 203/11,2067,01/07/1942,02/07/1942,Night,8: Wales,"Whitchurch, Cardiff",Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/009
HO 203/11,2067,01/07/1942,02/07/1942,Night,8: Wales,Miskin,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/009
HO 203/11,2067,01/07/1942,02/07/1942,Night,8: Wales,Swansea,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/009
HO 203/11,2070,03/07/1942,04/07/1942,Night,3: North Midlands,Normanton on Trent,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/011
HO 203/11,2070,03/07/1942,04/07/1942,Night,3: North Midlands,Low Leighton,England,1,4,5,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/011
HO 203/11,2070,03/07/1942,04/07/1942,Night,3: North Midlands,Stoney Middleton,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/011
HO 203/11,2070,03/07/1942,04/07/1942,Night,3: North Midlands,New Mills,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/011
HO 203/11,2070,03/07/1942,04/07/1942,Night,3: North Midlands,Shirebrook,England,0,1,1,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/011
HO 203/11,2070,03/07/1942,04/07/1942,Night,3: North Midlands,"Chatsworth Hall, Chatsworth",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/011
HO 203/11,2070,03/07/1942,04/07/1942,Night,3: North Midlands,"Hayfield, High Peak",England,6,4,10,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/011
HO 203/11,2070,03/07/1942,04/07/1942,Night,4: Eastern,Great Yarmouth,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/011
HO 203/11,2071,03/07/1942,04/07/1942,Night,3: North Midlands,"Wigsley, Newark",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/013
HO 203/11,2074,05/07/1942,06/07/1942,Night,8: Wales,Tenby,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/016
HO 203/11,2074,05/07/1942,06/07/1942,Night,8: Wales,Milford Haven,Wales,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/016
HO 203/11,2076,06/07/1942,07/07/1942,Night,1: Northern,"Walkerville, Newcastle-upon-Tyne",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/019
HO 203/11,2076,06/07/1942,07/07/1942,Night,1: Northern,Billingham,England,1,2,3,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/019
HO 203/11,2076 + 2077,06/07/1942,07/07/1942,Night,1: Northern,Middlesbrough,England,0,12,12,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/019
HO 203/11,2076,06/07/1942,07/07/1942,Night,1: Northern,Seaton Carew,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/019
HO 203/11,2076,06/07/1942,07/07/1942,Night,1: Northern,"Haverton Hill, Stockton-on-Tees",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/019
HO 203/11,2077,06/07/1942,07/07/1942,Night,1: Northern,Cowpen Bewley,England,Unspecified,Unspecified,Unspecified,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/020
HO 203/11,2077,06/07/1942,07/07/1942,Night,1: Northern,"Mordon, Stockton-on-Tees",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/020
HO 203/11,2077,06/07/1942,07/07/1942,Night,1: Northern,Lazenby,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/020
HO 203/11,2077,06/07/1942,07/07/1942,Night,1: Northern,Wallsend,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/020
HO 203/11,2077,06/07/1942,07/07/1942,Night,1: Northern,"Greatham, Durham",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/020
HO 203/11,2077,06/07/1942,07/07/1942,Night,8: Wales,"Angle, Pembrokeshire",Wales,0,0,0,Mine,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/020
HO 203/11,2077,07/07/1942,07/07/1942,Day,6: Southern,"Yarmouth, Isle of Wight",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/020
HO 203/11,2078 + 2080,07/07/1942,08/07/1942,Night,1: Northern,"Haverton Hill, Stockton-on-Tees",England,6,Unsppecified,Unspecified,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/021
HO 203/11,2078,07/07/1942,08/07/1942,Night,1: Northern,West Hartlepool,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/021
HO 203/11,2078,07/07/1942,08/07/1942,Night,1: Northern,"Greatham, Durham",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/022
HO 203/11,2078,07/07/1942,08/07/1942,Night,1: Northern,"Port Clarence, Stockton-on-Tees",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/022
HO 203/11,2078,07/07/1942,08/07/1942,Night,1: Northern,Middlesbrough,England,1,2,3,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/022
HO 203/11,2078,07/07/1942,08/07/1942,Night,1: Northern,Hackness,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/022
HO 203/11,2078,07/07/1942,08/07/1942,Night,1: Northern,Harwood Dale,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/022
HO 203/11,2078,07/07/1942,08/07/1942,Night,8: Wales,"Dale, Haverfordwest",Wales,0,2,2,Para-mine,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/022
HO 203/11,2078 + 2079,07/07/1942,08/07/1942,Night,12: South Eastern,St Margaret's at Cliffe,England,2,7,9,Shells,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/022
HO 203/11,2081,09/07/1942,09/07/1942,Day,12: South Eastern,"Friston, Eastbourne",England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/026
HO 203/11,2081,09/07/1942,09/07/1942,Day,12: South Eastern,"Cuckmere Haven, Seaford",England,0,6,6,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/026
HO 203/11,2082,09/07/1942,10/07/1942,Night,4: Eastern,Mautby,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/027
HO 203/11,2082,09/07/1942,10/07/1942,Night,4: Eastern,Hemsby,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/027
HO 203/11,2084,10/07/1942,11/07/1942,Night,6: Southern,Wyke Regis,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/029
HO 203/11,2086,11/07/1942,12/07/1942,Night,4: Eastern,Great Yarmouth,England,1,8,9,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/031
HO 203/11,2086,11/07/1942,12/07/1942,Night,4: Eastern,Lowestoft,England,1,4,5,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/031
HO 203/11,2086,11/07/1942,12/07/1942,Night,7: South Western,Newlyn,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/031
HO 203/11,2087,12/07/1942,12/07/1942,Day,7: South Western,Brixham,England,0,10,10,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/032
HO 203/11,2089,13/07/1942,13/07/1942,Day,6: Southern,Swanage,England,0,3,3,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/034
HO 203/11,2095,16/07/1942,16/07/1942,Day,9: Midlands,Leamington Spa,England,4,1,5,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/039
HO 203/11,2097,17/07/1942,17/07/1942,Day,5: London,Dagenham,England,0,0,0,,http://www.warstateandsociety.com/Content/wtss.ho203/000011/001/041
